Id,SalePrice
1461,121785.0
1462,155520.0
1463,184201.0
1464,193527.0
1465,190392.0
1466,171138.0
1467,170780.0
1468,162144.0
1469,183149.0
1470,124394.0
1471,184848.0
1472,97368.0
1473,95459.0
1474,146526.0
1475,116658.0
1476,362982.0
1477,244830.0
1478,291934.0
1479,288187.0
1480,524200.60000000003
1481,317378.0
1482,208704.0
1483,175975.0
1484,165872.0
1485,183808.0
1486,189890.0
1487,323371.0
1488,230480.0
1489,195489.0
1490,234490.0
1491,194053.0
1492,93624.0
1493,185413.0
1494,282063.0
1495,290488.0
1496,237260.0
1497,180738.0
1498,167388.0
1499,163706.0
1500,158742.0
1501,174076.0
1502,150851.0
1503,288199.0
1504,236825.0
1505,224893.0
1506,184698.0
1507,243212.0
1508,198525.0
1509,160220.0
1510,149665.0
1511,149289.0
1512,171324.0
1513,147931.0
1514,155464.0
1515,186103.0
1516,152287.0
1517,165161.0
1518,134609.0
1519,217012.0
1520,132446.0
1521,136736.0
1522,170198.0
1523,115861.0
1524,123933.0
1525,123028.0
1526,117373.0
1527,105382.0
1528,134396.0
1529,151897.0
1530,174177.0
1531,110618.0
1532,97994.0
1533,145330.0
1534,120007.0
1535,151855.0
1536,109183.0
1537,61667.0
1538,157704.0
1539,191802.0
1540,96076.0
1541,141157.0
1542,140937.0
1543,196161.0
1544,79130.0
1545,111018.0
1546,130471.0
1547,134835.0
1548,135110.0
1549,117794.0
1550,139034.0
1551,110543.0
1552,142830.0
1553,150290.0
1554,118375.0
1555,165941.0
1556,85467.0
1557,103166.0
1558,99105.0
1559,77566.0
1560,131546.0
1561,132391.0
1562,129801.0
1563,122561.0
1564,156582.0
1565,152520.0
1566,229894.0
1567,76462.0
1568,228331.0
1569,134829.0
1570,137530.0
1571,120390.0
1572,145478.0
1573,243738.0
1574,121266.0
1575,228037.0
1576,233894.0
1577,188815.0
1578,148156.0
1579,143249.0
1580,193916.0
1581,152500.0
1582,127462.0
1583,294718.0
1584,223137.0
1585,138025.0
1586,67004.0
1587,104781.0
1588,152333.0
1589,97671.0
1590,131893.0
1591,97789.0
1592,118845.0
1593,129109.0
1594,129189.0
1595,113986.0
1596,219176.0
1597,189345.0
1598,208955.0
1599,166144.0
1600,166079.0
1601,64831.0
1602,111632.0
1603,81801.0
1604,269292.0
1605,234730.0
1606,164362.0
1607,165293.0
1608,217693.0
1609,180851.0
1610,151411.0
1611,136590.0
1612,167253.0
1613,164116.0
1614,124446.0
1615,92784.0
1616,81209.0
1617,92972.0
1618,125882.0
1619,141354.0
1620,158908.0
1621,137147.0
1622,139306.0
1623,259163.0
1624,213063.0
1625,119530.0
1626,159441.0
1627,189585.0
1628,284266.0
1629,180035.0
1630,343746.0
1631,219779.0
1632,240087.0
1633,171204.0
1634,182575.0
1635,176092.0
1636,155249.0
1637,194854.0
1638,183134.0
1639,183264.0
1640,246430.0
1641,176268.0
1642,239667.0
1643,220612.0
1644,232752.0
1645,193145.0
1646,160166.0
1647,157372.0
1648,133140.0
1649,140882.0
1650,116740.0
1651,121104.0
1652,98264.0
1653,100099.0
1654,146472.0
1655,141834.0
1656,143691.0
1657,148613.0
1658,146888.0
1659,125578.0
1660,155772.0
